path_num|points|times
1|-4,-4,1;-1,2,1;0,0,1;,2,-3,1;-4,4,1;-2,-1,1;2,4,1|140,63,78,95,102,126,94
2|2,4,1;,0,-2,1;-1,-4,1;-3,0,1;,1,-4,1;-4,-2,1|142,93,132,77,133,81
3|-4,-2,1;,1,-4,1;3,2,1;,4,-4,1;0,0,1;-4,-3,1;2,2,1|77,113,120,117,77,77,78
4|2,2,1;,0,-2,1;1,2,1;2,1,1;-4,3,1;,3,-3,1;-4,-2,1|73,66,71,84,73,149,140
5|-4,-2,1;0,2,1;-1,4,1;-2,-1,1;-1,0,1;,0,-2,1;1,2,1|99,66,108,82,86,119,68
6|1,2,1;-2,4,1;,2,-3,1;1,4,1;-2,1,1;,3,-1,1;-4,-3,1|60,73,148,82,90,106,129
7|-4,-3,1;,3,-1,1;-4,1,1;,2,-3,1;-1,-2,1;1,4,1|100,82,89,139,97,128
8|1,4,1;,4,-4,1;-3,2,1;2,1,1;,4,-1,1;1,0,1|146,117,131,119,68,73
9|1,0,1;0,1,1;-4,2,1;,1,-3,1;-3,2,1;2,1,1;-2,2,1|138,85,62,108,114,65,67
10|-2,2,1;4,1,1;-3,-3,1;-4,0,1;-2,1,1;-3,-4,1|119,98,92,144,132,64
11|-3,-4,1;-4,3,1;,2,-4,1;,1,-2,1;-3,-1,1;,3,-4,1|130,70,142,70,136,118
12|3,-4,1;-3,2,1;4,4,1;-2,-2,1;1,2,1;4,0,1;,3,-3,1|61,71,96,91,96,147,64
13|3,-3,1;,0,-2,1;2,3,1;4,1,1;-4,-1,1|138,108,145,89,106
14|-4,-1,1;,1,-3,1;-2,-4,1;4,0,1;,3,-1,1;0,1,1|69,123,97,80,118,111
15|0,1,1;3,2,1;-1,0,1;-3,-2,1;,1,-4,1;3,4,1|136,73,115,133,126,96
16|3,4,1;-1,3,1;,0,-2,1;2,2,1;-1,-4,1;-3,2,1|130,73,106,71,145,139
17|-3,2,1;3,4,1;,2,-4,1;,0,-3,1;-1,4,1;-3,0,1|91,92,143,74,129,115
18|-3,0,1;-2,4,1;-1,3,1;-4,2,1;3,3,1;-3,2,1;-2,-4,1|85,62,77,92,112,108,131
19|-2,-4,1;3,2,1;4,0,1;,0,-2,1;-4,0,1;,4,-3,1|68,129,108,132,94,122
20|4,-3,1;2,0,1;4,3,1;-4,4,1;-1,3,1;0,2,1|61,62,106,120,147,107
21|0,2,1;-4,-4,1;,2,-3,1;1,0,1;-4,3,1;-1,2,1;0,4,1|112,101,120,65,100,61,117
22|0,4,1;,2,-4,1;,3,-2,1;2,1,1;-3,4,1;,1,-3,1;0,0,1|85,97,118,62,79,87,133
23|0,0,1;-4,1,1;,0,-2,1;-4,-3,1;-3,3,1;3,0,1;2,1,1|129,62,112,92,67,70,75
24|2,1,1;3,4,1;-3,-4,1;2,4,1;0,2,1;4,1,1|113,145,98,95,118,65
25|4,1,1;-1,-2,1;-4,-1,1;,0,-2,1;,3,-4,1;-3,-3,1;-2,0,1|68,135,63,92,101,141,90
26|-2,0,1;-3,4,1;2,3,1;,1,-4,1;4,1,1|112,121,95,90,149
27|4,1,1;-1,-1,1;3,4,1;-1,-3,1;-4,-1,1;-3,1,1|95,93,136,136,134,89
28|-3,1,1;2,4,1;-4,-3,1;-2,3,1;-3,4,1;-1,-1,1|140,63,146,134,67,71
29|-1,-1,1;2,4,1;-1,0,1;-4,-4,1;2,3,1;-1,-3,1|105,120,85,130,104,62
30|-1,-3,1;4,4,1;,0,-4,1;,4,-3,1;3,0,1;-1,-2,1|143,103,90,74,133,133
31|-1,-2,1;0,1,1;-1,-1,1;2,0,1;-4,-3,1;,3,-1,1;,4,-3,1|90,69,84,74,118,96,110
32|4,-3,1;-2,-4,1;-1,-2,1;3,2,1;-4,-3,1;-2,4,1;,1,-1,1|79,102,71,131,77,62,118
33|1,-1,1;0,4,1;,1,-2,1;,0,-1,1;4,0,1|120,146,145,112,102
34|4,0,1;-1,-4,1;,2,-2,1;-4,-3,1;1,3,1;0,0,1|72,127,143,114,145,76
35|0,0,1;-1,-4,1;-2,4,1;,3,-2,1;,0,-1,1;-3,4,1;,2,-3,1|106,75,119,92,63,81,133
36|2,-3,1;,3,-4,1;-4,3,1;-1,0,1;-3,-2,1;-1,-3,1|104,88,115,88,126,120
37|-1,-3,1;1,3,1;-1,2,1;-3,-4,1;-1,1,1|149,65,121,140,90
38|-1,1,1;-3,-4,1;-1,-1,1;,4,-2,1;-1,-4,1;,2,-1,1|93,93,109,92,116,132
39|2,-1,1;0,2,1;,1,-3,1;,4,-1,1;0,3,1;-2,-4,1|105,138,100,64,97,106
40|-2,-4,1;-3,1,1;0,2,1;2,0,1;-4,-1,1;3,1,1|95,89,140,98,136,138
41|3,1,1;,1,-2,1;2,1,1;3,0,1;,0,-4,1;-1,1,1|103,87,111,84,136,118
42|-1,1,1;-3,2,1;-4,1,1;-2,0,1;,2,-4,1;-4,2,1|69,70,125,138,113,148
43|-4,2,1;3,4,1;2,1,1;-1,2,1;3,0,1;,1,-1,1;-3,1,1;2,4,1|101,62,73,77,61,88,92,129
44|2,4,1;,0,-1,1;-2,-4,1;-4,0,1;2,2,1;0,1,1|142,147,91,64,101,130
